played_at,title,url,channel,duration,video_id,thumbnail,queue_id
2026-07-11T22:50:24+02:00,SSIO,https://www.youtube.com/channel/UCqcmJVdb2thNTh0hMNfKxzg,SSIO,,UCqcmJVdb2thNTh0hMNfKxzg,,805c1c28975b490096a6eb7c09af2a7a
2026-07-11T22:50:28+02:00,SSIO - Tut den Song in eure Playlist und macht viele TikToks (Official Video),https://www.youtube.com/watch?v=TCR1RE2Rl_0,SSIO,212,TCR1RE2Rl_0,,5f873b06deac4447bc08861abc072fab
2026-07-11T22:51:03+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,402,Slei8n08Cqk,,1b1a0d6a2377445db7a00082bd28115b
2026-07-11T22:54:18+02:00,SSIO - Tut den Song in eure Playlist und macht viele TikToks (Official Video),https://www.youtube.com/watch?v=TCR1RE2Rl_0,SSIO,212,TCR1RE2Rl_0,,17fd2ddc010f42ef9c147bafecf34e4a
2026-07-11T22:54:41+02:00,SSIO - BWL (Official Video),https://www.youtube.com/watch?v=qwmWPrPNVs0,SSIO,233,qwmWPrPNVs0,,7e1ee4dfb94c43f988b89441f37e5c7c
2026-07-11T22:56:04+02:00,Testvideo,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,,,5384b891019044309eb10a03c3b11fa3
2026-07-11T22:57:10+02:00,Testvideo,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,,,3b985b8515cb41de9763ac8e5dfeb865
2026-07-11T22:58:41+02:00,Testvideo,https://www.youtube.com/watch?v=jNQXAC9IVRw,,,,,3c72ff7b171a4ff68607b27df338cd6c
2026-07-11T23:13:30+02:00,SSIO,https://www.youtube.com/channel/UCqcmJVdb2thNTh0hMNfKxzg,SSIO,,UCqcmJVdb2thNTh0hMNfKxzg,,459a7b0a11ab48428ed6d7a3c74cbd2f
2026-07-11T23:13:38+02:00,SSIO - BWL (Official Video),https://www.youtube.com/watch?v=qwmWPrPNVs0,SSIO,233,qwmWPrPNVs0,,fa19807b0ce740aeb47af71a9d30776a
2026-07-11T23:13:47+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,402,Slei8n08Cqk,,d27bfe4abfcb476b8f929259e99d4a87
2026-07-11T23:23:52+02:00,Falco - Vienna Calling (Official Video),https://www.youtube.com/watch?v=MTlSjRMx5Ic,FALCO,4:07,MTlSjRMx5Ic,https://i.ytimg.com/vi/MTlSjRMx5Ic/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyFgr8VtnjRia6wMHYhX9YjH2yoQ,b7018945d13341cc8f99be0775bccc28
2026-07-11T23:29:28+02:00,Falco - Vienna Calling (Official Video),https://www.youtube.com/watch?v=MTlSjRMx5Ic,FALCO,4:07,MTlSjRMx5Ic,https://i.ytimg.com/vi/MTlSjRMx5Ic/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLDbLEE9XNhgdD-BsNHQZXAMvC-ubw,a4ba45da934447fbbc0cc149f287cdcc
2026-07-11T23:29:48+02:00,Falco - Auf der Flucht (Okay 07.07.1982),https://www.youtube.com/watch?v=heJ_SIND-cQ,FALCO,4:07,heJ_SIND-cQ,https://i.ytimg.com/vi/heJ_SIND-cQ/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLCRGPiqmO9EfD8siie8VL_rJo8mlg,8a4120cc8da44de392340474b09a40b6
2026-07-11T23:30:45+02:00,Falco - Der Kommissar (U.S. Official Video),https://www.youtube.com/watch?v=8-bgiiTxhzM,FALCO,3:48,8-bgiiTxhzM,https://i.ytimg.com/vi/8-bgiiTxhzM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUiSLc-y4Kd2Em0z4qQTDQHGOIEA,27b7aaf6b29c4a4b9e964fa2c83e7716
2026-07-11T23:47:18+02:00,Falco - Out Of The Dark [Official Music Video],https://www.youtube.com/watch?v=cyrdPtEHKzE,Falcofan94,3:39,cyrdPtEHKzE,https://i.ytimg.com/vi/cyrdPtEHKzE/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhUIGQoZTAP&rs=AOn4CLA-c90CW3oe4Rn2sg0nJ1-WsMDQvA,51ad14e6b1e74dfd8317f3efc0771f69
2026-07-11T23:48:16+02:00,Testvideo,https://www.youtube.com/watch?v=jNQXAC9IVRw,,,,,0238d7f800e1459596da09e1992e4998
2026-07-11T23:52:23+02:00,Falco - Jeanny (Video),https://www.youtube.com/watch?v=Urw-iutHw5E,FALCO,6:00,Urw-iutHw5E,https://i.ytimg.com/vi/Urw-iutHw5E/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAutSNTPidqdzqPs-ZqaE4mNo-Gyg,daa872a51b07405e8ce01aeb8cca448d
2026-07-12T00:02:46+02:00,Edgar Wasser - Bad Boy (16BARS.TV PREMIERE),https://www.youtube.com/watch?v=JGM5a6-77o4,16BARS,3:04,JGM5a6-77o4,https://i.ytimg.com/vi/JGM5a6-77o4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAsEmg0IZFzAHuuU-luSFgz3YQVg,dc1633a7a6204d7696edc1dae4804e20
2026-07-12T00:07:13+02:00,Edgar Wasser - Bad Boy (16BARS.TV PREMIERE),https://www.youtube.com/watch?v=JGM5a6-77o4,16BARS,3:04,JGM5a6-77o4,https://i.ytimg.com/vi/JGM5a6-77o4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAsEmg0IZFzAHuuU-luSFgz3YQVg,Jules,131a5b316b604128966bc53b1c042c4f
2026-07-12T00:10:40+02:00,Falco - Mutter Der Mann Mit Dem Koks Ist Da [Official Music Video],https://www.youtube.com/watch?v=0m7bHdcq87o,Falcofan94,3:46,0m7bHdcq87o,https://i.ytimg.com/vi/0m7bHdcq87o/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhmIGYoZjAP&rs=AOn4CLArqgkKw1hG8j_uba-bP5WbLROCSA,Julia,21484760e0e24670b9000f64524656b0
2026-07-12T19:03:43+02:00,Falco Posthumous - Maria Hölzel at and over her son's grave 1998,https://www.youtube.com/watch?v=o_X8Nk9UIhY,FALCO-NET,5:38,o_X8Nk9UIhY,https://i.ytimg.com/vi/o_X8Nk9UIhY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_mAUtEA_xKhdtoNwtaw9f_vynZQ,Julia,251ae77df2224da98d4ccc16217a7bd2
2026-07-12T19:05:50+02:00,Frauenarzt - Lass dich gehen [Lyrics],https://www.youtube.com/watch?v=NYqEvjDAoXE,Alphones11,3:42,NYqEvjDAoXE,https://i.ytimg.com/vi/NYqEvjDAoXE/hq720.jpg?sqp=-oaymwE8CNAFEJQDSFXyq4qpAy4IARUAAIhCGAFwAcABBu0BZmZmQvABAfgBvgeAAtAFigIMCAAQARhPIFsoZTAP&rs=AOn4CLBwCZuy60Zq15xKpbp_d5TdGucJsg,Raphael,9d9bb54229324132adadde6d4b63fc9d
2026-07-14T18:11:10+02:00,Waldeck - Get Up ... Carmen (Official Video),https://www.youtube.com/watch?v=Ix-I1ANf-Mw,Waldeck / Dope Noir Records Official,4:02,Ix-I1ANf-Mw,https://i.ytimg.com/vi/Ix-I1ANf-Mw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzKwyKOG8Bt3C_QUsqeebIiCzhwQ,Musiknazi,c3608841923e4611b27e96c65af3b586
2026-07-14T18:23:34+02:00,Britney Spears - Toxic (Official HD Video),https://www.youtube.com/watch?v=LOZuxwVk7TU,Britney Spears,3:32,LOZuxwVk7TU,https://i.ytimg.com/vi/LOZuxwVk7TU/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLD7HgTRMYP-syFTfnHm3ed_W2kirQ,Julia,91de744a167a495abad2417f8ad2542f
2026-07-14T18:32:08+02:00,Britney Spears - Toxic (Official Vídeo) (Legendado),https://www.youtube.com/watch?v=4sdhIaKOJ-4,Legendas BR,3:32,4sdhIaKOJ-4,https://i.ytimg.com/vi/4sdhIaKOJ-4/hqdefault.jpg?sqp=-oaymwE6COADEI4CSFXyq4qpAywIARUAAIhCGAFwAcABBvABAfgB0gaAAuADigIMCAAQARhlIGAoKTAPuALzGA==&rs=AOn4CLAr06Nn_jsl8qx11Uaeb-psB9KzgA,Julia,16eb71e5ce354ff98513ddd4137feddb
2026-07-14T18:32:46+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,448c7b48c76b4e2ebacf6c53072182dc
2026-07-14T18:32:58+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,efb7e34a9dfb4d37bc045469bb4e9df1
2026-07-14T18:33:07+02:00,"Britney Spears - ""Toxic"" (Full Choreography)",https://www.youtube.com/watch?v=7qRuUdvAdA8,Speed S,5:16,7qRuUdvAdA8,https://i.ytimg.com/vi/7qRuUdvAdA8/hqdefault.jpg?sqp=-oaymwEgCOADEI4CSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLBfaqnVFkE8CXtLsU_Ugw2nAlntXg,Julia,861ba4eef7484b9f8884c19a1542c271
2026-07-14T18:33:09+02:00,"Falco - Hoch wie nie (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=ezCqEAQjZbs,FALCO,3:32,ezCqEAQjZbs,https://i.ytimg.com/vi/ezCqEAQjZbs/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLClQYfur-CgrbN6ep7I3Ti8UCDrpw,Musiknazi,dba7f3dbc18343528ea21a44336e437e
2026-07-14T18:33:10+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,0ffd0589d41b479daeb2b0baf6aee8bd
2026-07-14T18:34:20+02:00,"Falco - Brillantin' Brutal' (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=AWW80r6R7W0,FALCO,3:36,AWW80r6R7W0,https://i.ytimg.com/vi/AWW80r6R7W0/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLAL9HJYM1UOFQTWKlvCnobGjQtwHQ,Musiknazi,7898a16646eb428489e27be603f9c706
2026-07-14T18:34:41+02:00,"Falco - Junge Roemer (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=DAPWGjMFW6Q,FALCO,4:25,DAPWGjMFW6Q,https://i.ytimg.com/vi/DAPWGjMFW6Q/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLAjhHb0AphJw5SooqluHe7mn6Lj4A,Musiknazi,55af85f60c48410686d01f2f4c11f704
2026-07-14T18:38:05+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,8d15abcac4c3406b83468bc925a4bd9c
2026-07-14T18:43:35+02:00,"Falco - Kann es Liebe sein (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=NcQtYyl91ls,FALCO,3:07,NcQtYyl91ls,https://i.ytimg.com/vi/NcQtYyl91ls/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLDRciTDDCmktSnLoCV2KkPH3VLpxA,Musiknazi,e27000ed7bd44723ac123c3d2f0358c9
2026-07-15T17:34:14+02:00,Falco - Mutter Der Mann Mit Dem Koks Ist Da [Official Music Video],https://www.youtube.com/watch?v=0m7bHdcq87o,Falcofan94,3:46,0m7bHdcq87o,https://i.ytimg.com/vi/0m7bHdcq87o/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhmIGYoZjAP&rs=AOn4CLArqgkKw1hG8j_uba-bP5WbLROCSA,Julia,c1eaae15fbae422e92832f0ee1404f1a
2026-07-15T18:01:05+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,ecb1a0792e214ebca1adb0ce0b6fb6a4
2026-07-15T18:07:51+02:00,SSIO - Ich Bin Raus | A COLORS SHOW,https://www.youtube.com/watch?v=rl0HAGx6X0I,COLORS and SSIO,2:34,rl0HAGx6X0I,https://i.ytimg.com/vi/rl0HAGx6X0I/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLDmlJjGsErQtX0aA42lmwDE4KvKHw,Julia,0e2a9366acb24521814dd5f97220e5ba
2026-07-15T19:59:42+02:00,SSIO - Ich Bin Raus | A COLORS SHOW,https://www.youtube.com/watch?v=rl0HAGx6X0I,COLORS and SSIO,2:34,rl0HAGx6X0I,https://i.ytimg.com/vi/rl0HAGx6X0I/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLDmlJjGsErQtX0aA42lmwDE4KvKHw,Julia,9e6636a42ca34d6cae943ddbd80ec704
